ProjectName;Filename;Classname;LOC;Visibility;IsMock;Extensions;Implementations;PrivateMethods;ProtectedMethods;PackageMethods;PublicMethods;TotalMethods;IsStaticClass;MethodOverrides
camel;camel/components/camel-spring/src/test/java/org/apache/camel/spring/issues/Camel14624Test.java;MockTransactionManager;15;package;True;0;1;0;0;0;3;3;False;3
camel;camel/components/camel-wordpress/src/test/java/org/apache/camel/component/wordpress/api/test/WordpressMockServerTestSupport.java;WordpressMockServerTestSupport;76;public;True;0;0;1;0;0;4;5;False;0
camel;camel/components/camel-kafka/src/test/java/org/apache/camel/component/kafka/MockConsumerInterceptor.java;MockConsumerInterceptor;25;public;True;0;1;0;0;0;4;4;False;4
camel;camel/components/camel-kafka/src/test/java/org/apache/camel/component/kafka/MockProducerInterceptor.java;MockProducerInterceptor;25;public;True;0;1;0;0;0;4;4;False;4
camel;camel/components/camel-jt400/src/test/java/org/apache/camel/component/jt400/MockAS400SecureConnectionPool.java;MockAS400SecureConnectionPool;72;public;True;1;0;0;0;0;12;12;False;12
camel;camel/components/camel-jt400/src/test/java/org/apache/camel/component/jt400/MockAS400ConnectionPool.java;MockAS400ConnectionPool;44;public;True;1;0;0;0;0;6;6;False;6
camel;camel/components/camel-aws2-translate/src/test/java/org/apache/camel/component/aws2/translate/AmazonAWSTranslateMock.java;AmazonAWSTranslateMock;20;public;True;0;1;0;0;0;3;3;False;3
camel;camel/components/camel-aws2-kms/src/test/java/org/apache/camel/component/aws2/kms/AmazonKMSClientMock.java;AmazonKMSClientMock;69;public;True;0;1;0;0;0;8;8;False;8
camel;camel/components/camel-milo/src/test/java/org/apache/camel/component/milo/call/MockCamelNamespace.java;MockCamelNamespace;100;public;True;1;0;1;1;0;4;6;False;5
camel;camel/components/camel-milo/src/test/java/org/apache/camel/component/milo/call/MockCallMethod.java;MockCallMethod;47;public;True;1;0;0;1;0;3;4;False;3
camel;camel/components/camel-aws-iam/src/test/java/org/apache/camel/component/aws/iam/AmazonIAMClientMock.java;AmazonIAMClientMock;791;public;True;1;0;0;0;0;149;149;False;149
camel;camel/components/camel-aws-eks/src/test/java/org/apache/camel/component/aws/eks/AmazonEKSClientMock.java;AmazonEKSClientMock;44;public;True;1;0;0;0;0;4;4;False;4
dubbo;dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/common/extension/MockDispatcher.java;MockDispatcher;6;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/service/MockInvocation.java;MockInvocation;100;public;True;0;1;0;0;0;17;17;False;10
dubbo;dubbo/dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/support/FailbackRegistryTest.java;MockRegistry;64;private;True;1;0;0;0;0;6;6;True;5
